,name,institution,rating_mean,reviews_count,language
75,The Data Scientist’s Toolbox,Johns Hopkins University,4.4799070076386585,6021.0,Inglés
76,Animal Behaviour and Welfare,The University of Edinburgh,4.8075,800.0,Inglés
77,Convolutional Neural Networks in TensorFlow,DeepLearning.AI,4.469640644361834,807.0,Inglés
78,Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,4.86144578313253,1328.0,Inglés
79,Introduction to the Biology of Cancer,Johns Hopkins University,4.803427419354839,992.0,Inglés
80,Convolutional Neural Networks,DeepLearning.AI,3.8553750966744005,1293.0,Inglés
81,Using Python to Access Web Data,University of Michigan,4.714109483423284,6484.0,Inglés
82,Introductory Human Physiology,Duke University,4.780250347705146,719.0,Inglés
83,Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,4.774250440917108,567.0,Inglés
84,Organizational Analysis,Stanford University,,,Inglés
85,Communication Strategies for a Virtual Age,University of Toronto,4.847319347319347,858.0,Inglés
86,Moral Foundations of Politics,Yale University,4.871060171919771,698.0,Inglés
87,Étudier en France: French Intermediate course B1-B2,École Polytechnique,4.845121951219512,820.0,Francés
88,Managing the Company of the Future,London Business School,4.842298288508557,818.0,Inglés
89,Finance for Non-Finance Professionals,Rice University,4.814516129032258,372.0,Inglés
90,Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,4.163265306122449,147.0,Inglés
91,Autism Spectrum Disorder,"University of California, Davis",4.634854771784233,482.0,Inglés
92,Data Science Methodology,IBM,4.338389731621937,1712.0,Inglés
93,Introduction to Financial Accounting,University of Pennsylvania,4.755240027045301,1479.0,Inglés
94,Marketing in a Digital World,University of Illinois at Urbana-Champaign,4.725449335764522,3839.0,Inglés
95,Wind Energy,Technical University of Denmark (DTU),4.717252396166134,1252.0,Inglés
96,Principles of Sustainable Finance,Erasmus University Rotterdam,4.833333333333333,48.0,Inglés
97,Financial Engineering and Risk Management Part I,Columbia University,4.365196078431373,408.0,Inglés
98,Introduction to Philosophy,The University of Edinburgh,4.698874917273329,1511.0,Inglés
99,Business Metrics for Data-Driven Companies,Duke University,4.5539617486338795,1463.0,Inglés
100,Python Basics,University of Michigan,4.794927853082641,2287.0,Inglés
101,Introduction to Sustainability,University of Illinois at Urbana-Champaign,4.769771528998243,569.0,Inglés
102,Positive Psychiatry and Mental Health,The University of Sydney,4.819012797074954,547.0,Inglés
103,Cryptography I,Stanford University,4.78486646884273,674.0,Inglés
104,Learning to Teach Online,UNSW Sydney (The University of New South Wales),4.786637931034483,928.0,Inglés
105,IT Security: Defense against the digital dark arts,Google,4.763485477178423,1446.0,Inglés
106,Entreprise et changement climatique,ESSEC Business School,5.0,2.0,Francés
107,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,4.648648648648648,518.0,Inglés
108,Gamification,University of Pennsylvania,4.75,672.0,Inglés
109,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,,,Inglés
110,Contabilidad para no contadores,Universidad Nacional Autónoma de México,4.763168316831683,2525.0,Español
111,Using Python to Interact with the Operating System,Google,4.55049504950495,505.0,Inglés
112,Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,4.608355091383812,383.0,Inglés
113,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,4.553171196948021,2096.0,Inglés
114,Databases and SQL for Data Science,IBM,4.38131122833459,1326.0,Inglés
115,Natural Language Processing in TensorFlow,DeepLearning.AI,4.254062038404727,677.0,Inglés
116,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,4.572192513368984,187.0,Inglés
117,Natural Language Processing with Probabilistic Models,DeepLearning.AI,4.555555555555555,99.0,Inglés
118,Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,4.826943005181347,965.0,Inglés
119,Understanding Research Methods,University of London,4.579588728103579,1313.0,Inglés
120,IBM Customer Engagement Specialist Professional Certificate,IBM,4.811111111111111,180.0,Inglés
121,Introduction to Calculus,The University of Sydney,4.878402903811252,551.0,Inglés
122,Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,4.564367816091954,1740.0,Español
123,Introduction to HTML5,University of Michigan,3.9888089528377297,1251.0,Inglés
124,Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",4.490384615384615,104.0,Inglés
125,Excel Skills for Business: Intermediate I,Macquarie University,4.8965360072926165,2194.0,Inglés
126,"Programming Foundations with JavaScript, HTML and CSS",Duke University,4.533483146067415,2225.0,Inglés
127,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,4.888130968622101,733.0,Inglés
128,Food & Beverage Management,Università Bocconi,4.815384615384615,715.0,Inglés
129,Data Analysis with Python,IBM,4.43194925028835,1734.0,Inglés
130,Project Planning,"University of California, Irvine",4.35,20.0,Inglés
131,Agile Meets Design Thinking,University of Virginia,4.750390015600624,641.0,Inglés
132,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,4.680155210643015,1804.0,Inglés
133,Construction Project Management,Columbia University,4.753846153846154,845.0,Inglés
134,Introduction to Mathematical Thinking,Stanford University,4.786036036036036,444.0,Inglés
135,Everyday Parenting: The ABCs of Child Rearing,Yale University,4.929530201342282,596.0,Inglés
136,Introduction to Healthcare,Stanford University,4.0,6.0,Inglés
137,Machine Learning with Python,IBM,4.492443324937028,1588.0,Inglés
138,Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,4.752508361204013,598.0,Inglés
139,Data Management for Clinical Research,Vanderbilt University,4.73992673992674,273.0,Inglés
140,Sustainable Fashion,Copenhagen Business School,4.841269841269841,126.0,Inglés
141,Foundations of Data Science: K-Means Clustering in Python,University of London,4.6,80.0,Inglés
