,title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,precio_certificado
451,AWS Developer: Building on AWS,54249,Self-paced on your time,Amazon Web Services,Advanced,Computer Science,Inglés,Inglés,3–4 hours per week,6 Weeks,149
452,Financial Accounting Made Fun: Eliminating Your Fears,36787,Self-paced on your time,Babson College,Introductory,Business & Management,Inglés,Inglés,4–6 hours per week,4 Weeks,199
453,PredictionX: John Snow and the Cholera Epidemic of 1854,17713,Self-paced on your time,Harvard University,Introductory,History,Inglés,Inglés,3–5 hours per week,1 Weeks,25
454,Gestión de operaciones,9512,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,"Inglés, Español",5–7 hours per week,6 Weeks,119
455,Microeconomics & Business,10962,Self-paced on your time,Doane University,Introductory,Economics & Finance,Inglés,Inglés,10–18 hours per week,8 Weeks,79
456,Inteligencia artificial: Chatbots sin programación,5001,Self-paced on your time,IBM,Introductory,Computer Science,Español,Inglés,2–4 hours per week,2 Weeks,49
457,Diseño e innovación de modelo de negocios,7180,Self-paced on your time,Tecnológico de Monterrey,Advanced,Business & Management,Español,Inglés,5–8 hours per week,4 Weeks,99
458,Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),29171,Self-paced on your time,World Bank Group,Introductory,Economics & Finance,Inglés,Inglés,4–6 hours per week,4 Weeks,5
459,Business Communication,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,Inglés,Inglés,4–6 hours per week,3 Weeks,199
460,Gestão de riscos em projetos,8771,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Portugués,Portugués,3–4 hours per week,10 Weeks,25
461,Vocal Recording Technology,52369,Self-paced on your time,Berklee College of Music,Introductory,Engineering,Inglés,Inglés,5–6 hours per week,6 Weeks,49
462,Agua 2.0: empresas eficientes para el siglo XXI,0,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Español,Español,2–3 hours per week,8 Weeks,25
463,IoT Sensors and Devices,33072,Self-paced on your time,Curtin University,Introductory,Computer Science,Inglés,Inglés,4–6 hours per week,5 Weeks,199
464,Introducción a las tecnologías para la Educación,31533,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,3–4 hours per week,5 Weeks,49
465,Fundamentos de la guitarra eléctrica y acústica,13124,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,Español,2–5 hours per week,6 Weeks,49
466,e-Learning on Digital Agriculture,6238,Self-paced on your time,World Bank Group,Introductory,Environmental Studies,Inglés,Inglés,2–3 hours per week,5 Weeks,5
467,Exploring GraphQL: A Query Language for APIs,9503,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,Inglés,Inglés,1–2 hours per week,7 Weeks,149
468,EmSAT English Preparation - Level 2,7346,Self-paced on your time,United Arab Emirates University,Intermediate,Language,Inglés,Inglés,2–3 hours per week,6 Weeks,49
469,The Data Science Method,7868,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Inglés,Inglés,3–7 hours per week,7 Weeks,39
