,title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,precio_certificado
0,How to Learn Online,124980,Self-paced on your time,edX,Introductory,Education & Teacher Training,Inglés,Inglés,2–3 hours per week,2 Weeks,49
1,Programming for Everybody (Getting Started with Python),293864,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Inglés,Inglés,2–4 hours per week,7 Weeks,49
2,CS50's Introduction to Computer Science,2442271,Self-paced on your time,Harvard University,Introductory,Computer Science,Inglés,Inglés,6–18 hours per week,12 Weeks,90
3,The Analytics Edge,129555,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Data Analysis & Statistics,Inglés,Inglés,10–15 hours per week,13 Weeks,199
4,Marketing Analytics: Marketing Measurement Strategy,81140,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,Inglés,Inglés,5–7 hours per week,4 Weeks,249
5,Introduction to Project Management,301793,Self-paced on your time,University of Adelaide,Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,6 Weeks,199
6,Leading High-Performing Teams,32847,Self-paced on your time,The University of Queensland,Intermediate,Communication,Inglés,Inglés,8–10 hours per week,10 Weeks,5
7,The Foundations of Happiness at Work,67073,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,4 Weeks,199
8,"Managing Study, Stress and Mental Health at University",23061,Self-paced on your time,Curtin University,Introductory,Health & Safety,Inglés,Inglés,1–3 hours per week,2 Weeks,49
9,Six Sigma: Define and Measure,92411,Self-paced on your time,Technische Universität München,Introductory,Business & Management,Inglés,Inglés,3–4 hours per week,8 Weeks,99
10,Fat Chance: Probability from the Ground Up,66835,Self-paced on your time,Harvard University,Introductory,Math,Inglés,Inglés,3–5 hours per week,7 Weeks,49
11,Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Self-paced on your time,National Research Nuclear University,Introductory,Communication,Inglés,Inglés,2–6 hours per week,5 Weeks,49
12,Bitcoin and Cryptocurrencies,83398,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,Inglés,Inglés,3–5 hours per week,6 Weeks,99
13,English Grammar and Style,0,Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,Inglés,Inglés,3–4 hours per week,8 Weeks,99
14,Ethics in Action,6366,Self-paced on your time,SDG Academy,Intermediate,Ethics,Inglés,"Inglés, Español, Русский",2–4 hours per week,10 Weeks,49
15,Introduction to FinTech,72767,Self-paced on your time,University of Hong Kong,Introductory,Economics & Finance,Inglés,"Inglés, Chino, Chino",1–3 hours per week,6 Weeks,199
16,Data Science: R Basics,528782,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–2 hours per week,8 Weeks,49
17,Python Basics for Data Science,228809,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Inglés,Inglés,2–5 hours per week,5 Weeks,39
18,The Science of Beer,39085,Self-paced on your time,Wageningen University & Research,Introductory,Food & Nutrition,Inglés,Inglés,2–4 hours per week,6 Weeks,49
19,Strategic Social Media Marketing,103640,Instructor-led on a course schedule,Boston University,Advanced,Business & Management,Inglés,Inglés,4–6 hours per week,6 Weeks,399
20,CS50's Introduction to Artificial Intelligence with Python,258006,Self-paced on your time,Harvard University,Introductory,Computer Science,Inglés,Inglés,10–30 hours per week,7 Weeks,199
21,CS50's Introduction to Game Development,346748,Self-paced on your time,Harvard University,Intermediate,Computer Science,Inglés,Inglés,6–9 hours per week,12 Weeks,149
22,Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,2–3 hours per week,8 Weeks,99
23,CS50's Web Programming with Python and JavaScript,698950,Self-paced on your time,Harvard University,Intermediate,Computer Science,Inglés,Inglés,6–9 hours per week,12 Weeks,90
24,Contract Law: From Trust to Promise to Contract,414181,Self-paced on your time,Harvard University,Intermediate,Business & Management,Inglés,Inglés,3–6 hours per week,8 Weeks,125
25,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,Inglés,Inglés,3–5 hours per week,5 Weeks,99
26,Justice,392588,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,"Alemán, Inglés, Español, Portugués, Chino",3–6 hours per week,12 Weeks,99
27,Data Science: Machine Learning,276209,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,2–4 hours per week,8 Weeks,49
28,Child Protection: Children's Rights in Theory and Practice,212453,Self-paced on your time,Harvard University,Introductory,Social Sciences,Inglés,Inglés,2–6 hours per week,16 Weeks,99
29,IELTS Academic Test Preparation,1103777,Self-paced on your time,The University of Queensland,Introductory,Communication,Inglés,Inglés,5–10 hours per week,8 Weeks,99
30,The Architectural Imagination,406181,Self-paced on your time,Harvard University,Introductory,Architecture,Inglés,Inglés,3–5 hours per week,10 Weeks,99
31,TOEFL® Test Preparation: The Insider’s Guide,1022489,Self-paced on your time,Educational Testing Service,Introductory,Communication,Inglés,Inglés,2–4 hours per week,6 Weeks,49
32,Principles of Biochemistry,257600,Self-paced on your time,Harvard University,Intermediate,Medicine,Inglés,Inglés,4–6 hours per week,15 Weeks,199
33,Using Python for Research,262183,Self-paced on your time,Harvard University,Intermediate,Computer Science,Inglés,Inglés,2–4 hours per week,12 Weeks,99
34,Hinduism Through Its Scriptures,140782,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,5–10 hours per week,4 Weeks,99
35,Basic Spanish 1: Getting Started,400169,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Communication,Inglés,"Inglés, Español",4–5 hours per week,7 Weeks,40
36,The Health Effects of Climate Change,110024,Self-paced on your time,Harvard University,Introductory,Environmental Studies,Inglés,Inglés,3–5 hours per week,7 Weeks,99
37,Inglés básico: conversacional y networking,79671,Self-paced on your time,Universidades Anáhuac,Introductory,Business & Management,Español,"Inglés, Español",5–8 hours per week,4 Weeks,49
38,Statistics and R,314586,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,Inglés,Inglés,2–4 hours per week,4 Weeks,249
39,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Self-paced on your time,Harvard University,Introductory,Chemistry,Inglés,Inglés,2–3 hours per week,16 Weeks,199
40,Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Self-paced on your time,Harvard University,Introductory,Art & Culture,Inglés,Inglés,2–4 hours per week,8 Weeks,99
41,"PredictionX: Omens, Oracles & Prophecies",91566,Self-paced on your time,Harvard University,Introductory,Social Sciences,Inglés,Inglés,3–5 hours per week,1 Weeks,25
42,Excel: Fundamentos y herramientas,284279,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,3–4 hours per week,8 Weeks,50
43,Lessons from Ebola: Preventing the Next Pandemic,91983,Self-paced on your time,Harvard University,Introductory,Social Sciences,Inglés,Inglés,3–5 hours per week,4 Weeks,49
44,Improving Global Health: Focusing on Quality and Safety,127353,Self-paced on your time,Harvard University,Intermediate,Social Sciences,Inglés,Inglés,2–4 hours per week,10 Weeks,99
45,CS50 for Lawyers,87336,Self-paced on your time,Harvard University,Introductory,Computer Science,Inglés,Inglés,3–6 hours per week,10 Weeks,99
46,Data Science: Visualization,171258,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–2 hours per week,8 Weeks,49
47,Christianity Through Its Scriptures,125051,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,5–10 hours per week,4 Weeks,99
48,The Science of Happiness,475614,Self-paced on your time,"University of California, Berkeley",Introductory,Social Sciences,Inglés,Inglés,4–5 hours per week,11 Weeks,169
49,Leaders of Learning,231131,Self-paced on your time,Harvard University,Introductory,Communication,Inglés,"Inglés, Español",2–4 hours per week,10 Weeks,99
50,Exercising Leadership: Foundational Principles,57814,Self-paced on your time,Harvard University,Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,4 Weeks,99
51,Data Science: Probability,135859,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–2 hours per week,8 Weeks,49
52,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Self-paced on your time,Harvard University,Intermediate,Education & Teacher Training,Inglés,"Inglés, Español",1–2 hours per week,10 Weeks,70
53,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Self-paced on your time,Harvard University,Introductory,Medicine,Inglés,Inglés,2–5 hours per week,8 Weeks,99
54,Introduction to Family Engagement in Education,105146,Self-paced on your time,Harvard University,Introductory,Education & Teacher Training,Inglés,Inglés,2–4 hours per week,6 Weeks,70
55,Italian Language and Culture: Beginner (2019-2020),182462,Self-paced on your time,Wellesley College,Introductory,Language,Italiano,Italiano,2–5 hours per week,12 Weeks,49
56,Steps in Japanese for Beginners1 Part1,53630,Self-paced on your time,Waseda University,Introductory,Language,Inglés,"Inglés, Chino",3–5 hours per week,5 Weeks,49
57,How to Write an Essay,306787,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,Inglés,Inglés,5–6 hours per week,5 Weeks,49
58,Energy Within Environmental Constraints,95324,Self-paced on your time,Harvard University,Introductory,Environmental Studies,Inglés,Inglés,3–5 hours per week,10 Weeks,99
59,Introduction to Probability,97291,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,Inglés,Inglés,5–10 hours per week,10 Weeks,99
60,AnatomyX: Musculoskeletal Cases,102075,Self-paced on your time,Harvard University,Intermediate,Medicine,Inglés,Inglés,3–6 hours per week,7 Weeks,99
61,Data Science: Inference and Modeling,88256,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–2 hours per week,8 Weeks,49
62,Strengthening Community Health Worker Programs,58626,Self-paced on your time,Harvard University,Introductory,Health & Safety,Inglés,Inglés,2–4 hours per week,6 Weeks,79
63,Buddhism Through Its Scriptures,182295,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,5–10 hours per week,4 Weeks,99
64,Introduction to Linux,642088,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,Inglés,Inglés,5–7 hours per week,14 Weeks,199
65,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221,Self-paced on your time,Harvard University,Introductory,Medicine,Inglés,Inglés,1–2 hours per week,10 Weeks,99
66,Shakespeare's Life and Work,48938,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,5–7 hours per week,4 Weeks,49
67,Marketing Digital: Content & Community Manager,112623,Self-paced on your time,Universidad Galileo,Introductory,Communication,Español,Español,3–4 hours per week,5 Weeks,49
68,Accounting and Finance,88243,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,Inglés,"Inglés, हिन्दी",2–4 hours per week,11 Weeks,150
69,Computing in Python I: Fundamentals and Procedural Programming,141966,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,Inglés,Inglés,9–10 hours per week,5 Weeks,99
70,"Nutrition, Exercise and Sports",51679,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,Inglés,Inglés,4–8 hours per week,6 Weeks,49
71,Becoming an Entrepreneur,104760,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,Inglés,Inglés,1–3 hours per week,6 Weeks,69
72,"Religion, Conflict and Peace",74060,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,4–8 hours per week,8 Weeks,49
73,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,1–3 hours per week,10 Weeks,49
74,Academic and Business Writing,322701,Self-paced on your time,"University of California, Berkeley",Introductory,Communication,Inglés,Inglés,3–5 hours per week,6 Weeks,49
75,Data Science: Capstone,62803,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,15–20 hours per week,2 Weeks,99
76,Basics of Computing and Programming,37045,Self-paced on your time,New York University,Introductory,Computer Science,Inglés,Inglés,6–8 hours per week,9 Weeks,200
77,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,Inglés,Inglés,3–5 hours per week,6 Weeks,99
78,Successful Negotiation: Essential Strategies and Skills,31369,Self-paced on your time,The University of Michigan,Introductory,Business & Management,Inglés,Inglés,2–4 hours per week,7 Weeks,49
79,Data Science: Linear Regression,75310,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–2 hours per week,8 Weeks,49
80,HTML5 and CSS Fundamentals,335895,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,Inglés,Inglés,4–6 hours per week,6 Weeks,199
81,Data Science: Productivity Tools,66683,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–2 hours per week,8 Weeks,49
82,Introduction to Corporate Finance,98093,Self-paced on your time,Columbia University,Introductory,Business & Management,Inglés,Inglés,3–4 hours per week,4 Weeks,225
83,Computer Science 101,39540,Self-paced on your time,Stanford University,Introductory,Computer Science,Inglés,Inglés,4–6 hours per week,6 Weeks,149
84,Data Science: Wrangling,64584,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–2 hours per week,8 Weeks,49
85,A Hands-on Introduction to Engineering Simulations,187138,Self-paced on your time,Cornell University,Intermediate,Engineering,Inglés,Inglés,4–6 hours per week,6 Weeks,199
86,AI for Everyone: Master the Basics,49340,Self-paced on your time,IBM,Introductory,Computer Science,Inglés,Inglés,1–2 hours per week,4 Weeks,49
87,The Psychology of Criminal Justice,110086,Self-paced on your time,The University of Queensland,Introductory,Humanities,Inglés,Inglés,1–2 hours per week,8 Weeks,99
88,Machine Learning with Python: A Practical Introduction,80161,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Inglés,Inglés,4–6 hours per week,5 Weeks,39
89,Analyzing Data with Python,94079,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Inglés,Inglés,2–4 hours per week,5 Weeks,39
90,Excel: gestión de datos,111785,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,Español,4–6 hours per week,6 Weeks,75
91,Probability - The Science of Uncertainty and Data,205615,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Data Analysis & Statistics,Inglés,Inglés,10–14 hours per week,16 Weeks,300
92,"Fundamentals of Neuroscience, Part 3: The Brain",85034,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,Inglés,Inglés,3–5 hours per week,8 Weeks,99
93,Sikhism Through Its Scriptures,44125,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,5–10 hours per week,4 Weeks,99
94,Upper-Intermediate English: Business and Modern Life,77991,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,Inglés,Inglés,3–5 hours per week,4 Weeks,50
96,Religious Literacy: Traditions and Scriptures,96972,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,5–10 hours per week,4 Weeks,99
97,Programación para todos (empezando con Python),81004,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Español,Español,2–4 hours per week,7 Weeks,49
98,Analyzing and Visualizing Data with Power BI,28879,Self-paced on your time,Davidson College,Introductory,Data Analysis & Statistics,Inglés,Inglés,10–20 hours per week,4 Weeks,99
99,High-Dimensional Data Analysis,78443,Self-paced on your time,Harvard University,Advanced,Data Analysis & Statistics,Inglés,Inglés,2–4 hours per week,4 Weeks,149
100,Introduction To Music Theory,67029,Self-paced on your time,Berklee College of Music,Introductory,Humanities,Inglés,Inglés,3–5 hours per week,6 Weeks,49
101,Human Anatomy,126850,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Medicine,Inglés,Inglés,2–4 hours per week,8 Weeks,139
102,"CitiesX: The Past, Present and Future of Urban Life",76874,Self-paced on your time,Harvard University,Introductory,Social Sciences,Inglés,"Inglés, Portugués",5–7 hours per week,11 Weeks,99
103,The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208,Self-paced on your time,Harvard University,Introductory,Philosophy & Ethics,Inglés,Inglés,1–2 hours per week,13 Weeks,99
104,Entrepreneurship 101: Who is your customer?,41838,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,Inglés,Inglés,2–4 hours per week,10 Weeks,49
105,"U.S. Public Policy: Social, Economic, and Foreign Policies",44045,Self-paced on your time,Harvard University,Introductory,Social Sciences,Inglés,Inglés,2–4 hours per week,4 Weeks,49
106,Machine Learning with Python: from Linear Models to Deep Learning,85561,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Computer Science,Inglés,Inglés,10–14 hours per week,15 Weeks,300
107,Introduction to Data Science,43766,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Inglés,Inglés,3–6 hours per week,6 Weeks,39
108,Circuits and Electronics 1: Basic Circuit Analysis,52639,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Electronics,Inglés,"Inglés, Chino",5–7 hours per week,5 Weeks,169
109,Introduction to Investments,91788,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,Inglés,Inglés,3–5 hours per week,5 Weeks,50
110,Improving Your Business Through a Culture of Health,54136,Self-paced on your time,Harvard University,Introductory,Business & Management,Inglés,Inglés,1–3 hours per week,9 Weeks,99
111,Introduction to Linear Models and Matrix Algebra,92004,Self-paced on your time,Harvard University,Intermediate,Math,Inglés,Inglés,2–4 hours per week,4 Weeks,149
112,DO Your Venture: Entrepreneurship For Everyone,61989,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,Inglés,"Inglés, हिन्दी",3–4 hours per week,6 Weeks,150
113,El valor de la creatividad y la innovación: La Economía Naranja,23728,Self-paced on your time,Inter-American Development Bank,Introductory,Art & Culture,Español,Español,2–4 hours per week,8 Weeks,25
114,Humanitarian Response to Conflict and Disaster,119891,Self-paced on your time,Harvard University,Introductory,Health & Safety,Inglés,Inglés,3–4 hours per week,5 Weeks,99
115,"Women Making History: Ten Objects, Many Stories",38939,Self-paced on your time,Harvard University,Introductory,History,Inglés,Inglés,2–3 hours per week,8 Weeks,99
116,Masterpieces of World Literature,88789,Self-paced on your time,Harvard University,Introductory,Literature,Inglés,Inglés,5–7 hours per week,12 Weeks,149
117,SQL for Data Science,39184,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Inglés,Inglés,2–4 hours per week,4 Weeks,39
118,El cerebro y las emociones en el lenguaje,41279,Self-paced on your time,Universidad del Rosario,Introductory,Communication,Español,Español,4–5 hours per week,5 Weeks,49
119,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673,Self-paced on your time,Harvard University,Introductory,Physics,Inglés,Inglés,2–3 hours per week,16 Weeks,169
120,Python: aprender a programar,21613,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,3–4 hours per week,8 Weeks,49
121,Marketing Analytics: Competitive Analysis and Market Segmentation,70682,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,Inglés,Inglés,5–7 hours per week,4 Weeks,249
122,MalariaX: Defeating Malaria from the Genes to the Globe,37598,Self-paced on your time,Harvard University,Intermediate,Biology & Life Sciences,Inglés,"Inglés, Francés",3–5 hours per week,8 Weeks,49
123,Entrepreneurship in Emerging Economies,113602,Self-paced on your time,Harvard University,Introductory,Business & Management,Inglés,Inglés,3–5 hours per week,6 Weeks,125
124,JavaScript Introduction,160112,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,Inglés,Inglés,6–8 hours per week,5 Weeks,199
125,People Management,113592,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,Inglés,"Inglés, हिन्दी",2–4 hours per week,6 Weeks,150
126,Using Email for Networking in English,57208,Self-paced on your time,University of Washington,Introductory,Language,Inglés,Inglés,3–5 hours per week,4 Weeks,149
127,Databases: Relational Databases and SQL,20502,Self-paced on your time,Stanford University,Introductory,Computer Science,Inglés,Inglés,8–10 hours per week,2 Weeks,50
128,C Programming: Getting Started,104108,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,Inglés,Inglés,2–4 hours per week,7 Weeks,49
129,Supply Chain Analytics,145049,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Business & Management,Inglés,Inglés,8–12 hours per week,15 Weeks,199
130,Programming for the Web with JavaScript,91406,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,Inglés,Inglés,6–8 hours per week,4 Weeks,149
131,Introduction to Digital Humanities,37501,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,2–4 hours per week,7 Weeks,99
132,Upper-Intermediate English: Business and Industry,103704,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,Inglés,Inglés,3–5 hours per week,4 Weeks,50
133,EmSAT English Preparation - Level 1,29101,Self-paced on your time,United Arab Emirates University,Introductory,Language,Inglés,Inglés,2–3 hours per week,6 Weeks,49
134,Python for Data Science,266978,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,Inglés,Inglés,8–10 hours per week,10 Weeks,350
135,Empathy and Emotional Intelligence at Work,45867,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,Inglés,Inglés,1–2 hours per week,4 Weeks,199
136,Design Thinking and Creativity for Innovation,47549,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,Inglés,Inglés,8–10 hours per week,10 Weeks,5
137,China and Communism,69104,Self-paced on your time,Harvard University,Introductory,History,Inglés,"Inglés, Chino",1–3 hours per week,15 Weeks,139
138,Mandarin Chinese Level 1,56040,Self-paced on your time,MandarinX,Introductory,Language,Inglés,Inglés,4–10 hours per week,6 Weeks,149
139,Introduction to Biology - The Secret of Life,147512,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Biology & Life Sciences,Inglés,"Inglés, Chino",5–10 hours per week,16 Weeks,150
140,Photoshop: una herramienta para presentaciones innovadoras,22969,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Art & Culture,Español,Español,8–10 hours per week,5 Weeks,19
141,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,Inglés,Inglés,2–3 hours per week,9 Weeks,99
142,生活英语听说 | Conversational English Skills,301585,Self-paced on your time,Tsinghua University,Introductory,Communication,Inglés,Inglés,2–4 hours per week,10 Weeks,49
143,Shakespeare’s Othello: The Moor,31868,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,5–7 hours per week,4 Weeks,49
144,Basic Spanish 2: One Step Further,67687,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Language,Inglés,"Inglés, Español",4–5 hours per week,4 Weeks,50
145,Financial Market Analysis,37452,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,Inglés,Inglés,8–10 hours per week,7 Weeks,25
146,CS50's Computer Science for Business Professionals,73208,Self-paced on your time,Harvard University,Introductory,Computer Science,Inglés,Inglés,2–6 hours per week,6 Weeks,90
147,Gobierno Digital,18883,Self-paced on your time,Inter-American Development Bank,Introductory,Social Sciences,Español,Español,1–2 hours per week,8 Weeks,25
148,Upper-Intermediate English: Business and Globalization,58532,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,Inglés,Inglés,3–5 hours per week,4 Weeks,50
149,The Opioid Crisis in America,54805,Self-paced on your time,Harvard University,Introductory,Medicine,Inglés,Inglés,1–2 hours per week,10 Weeks,99
150,Gestión de Proyectos de Desarrollo,306286,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Español,Español,3–4 hours per week,10 Weeks,49
151,Statistical Learning,27968,Self-paced on your time,Stanford University,Introductory,Data Analysis & Statistics,Inglés,Inglés,3–5 hours per week,9 Weeks,50
152,Introduction to Social Psychology,79365,Self-paced on your time,The University of Queensland,Introductory,Humanities,Inglés,Inglés,1–2 hours per week,7 Weeks,99
153,Artificial Intelligence (AI),265104,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,Inglés,Inglés,8–10 hours per week,12 Weeks,249
154,American Government: Constitutional Foundations,35504,Self-paced on your time,Harvard University,Introductory,Social Sciences,Inglés,Inglés,2–4 hours per week,4 Weeks,49
155,Introducción a la inversión bursátil,64261,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Economics & Finance,Español,Español,3–4 hours per week,2 Weeks,50
156,Japanese Books: From Manuscript to Print,17581,Self-paced on your time,Harvard University,Introductory,Art & Culture,Inglés,Inglés,1–2 hours per week,9 Weeks,100
157,Foundations of Modern Finance  I,24108,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Economics & Finance,Inglés,Inglés,10–14 hours per week,12 Weeks,450
158,Operations Management,126093,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,Inglés,"Inglés, हिन्दी",2–4 hours per week,7 Weeks,150
159,Marketing Management,80010,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,Inglés,"Inglés, हिन्दी",2–4 hours per week,9 Weeks,150
160,Marketing enfocado en la estrategia de servicios,24618,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,"Inglés, Español",5–7 hours per week,6 Weeks,119
161,Introduction to Marketing,169126,Self-paced on your time,University of British Columbia,Introductory,Business & Management,Inglés,Inglés,3–5 hours per week,6 Weeks,150
162,Programming Basics,215059,Self-paced on your time,IITBombay,Introductory,Computer Science,Inglés,Inglés,6–8 hours per week,9 Weeks,149
163,Probability and Statistics in Data Science using Python,106286,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,Inglés,Inglés,10–12 hours per week,10 Weeks,350
164,HTML5 Coding Essentials and Best Practices,241287,Self-paced on your time,The World Wide Web Consortium (W3C),Intermediate,Computer Science,Inglés,Inglés,6–8 hours per week,6 Weeks,199
165,First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,37426,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,3–5 hours per week,3 Weeks,49
166,Cell Biology: Mitochondria,64142,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,Inglés,Inglés,2–4 hours per week,4 Weeks,99
167,"Algorithms: Design and Analysis, Part 1",20163,Self-paced on your time,Stanford University,Intermediate,Computer Science,Inglés,Inglés,2–4 hours per week,6 Weeks,149
168,Introducción al Office 365,16470,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,2–3 hours per week,7 Weeks,75
169,Creative Thinking: Techniques and Tools for Success,54787,Self-paced on your time,Imperial College London,Introductory,Humanities,Inglés,Inglés,2–4 hours per week,7 Weeks,49
170,Upper-Intermediate English: Business and Technology,47451,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,Inglés,Inglés,3–5 hours per week,4 Weeks,50
171,Shakespeare's Hamlet: The Ghost,38331,Self-paced on your time,Harvard University,Introductory,Humanities,Inglés,Inglés,5–7 hours per week,4 Weeks,49
172,FlashDiet: Aprende a comer sano,48105,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Food & Nutrition,Español,Español,2–3 hours per week,5 Weeks,50
173,CS50's Understanding Technology,50030,Self-paced on your time,Harvard University,Introductory,Computer Science,Inglés,Inglés,2–6 hours per week,6 Weeks,90
174,Introduction to Aerospace Structures and Materials,37126,Self-paced on your time,Delft University of Technology,Introductory,Engineering,Inglés,Inglés,4–6 hours per week,8 Weeks,50
175,Visualizing Data with Python,42101,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,Inglés,Inglés,2–4 hours per week,5 Weeks,39
176,Success: Practical Thinking Skills,24414,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Philosophy & Ethics,Inglés,Inglés,4–6 hours per week,4 Weeks,50
